raceID,raceCountry,raceDistance,raceName
4287,USA,50km,the hennepin hundred - 50 km ru
4501,ISR,100km,ultramarathon sovev-emek (around the valley) 100 k
5088,PER,100km,desert challenge paracas 100
5319,RSA,50km,cape town festival of running 100 km - 50km spli
1227,TPE,100km,shancheng 100 km ultramaratho
749,USA,50km,elephant mountain 50 k
3346,THA,50km,chiang mai ultramaratho
7878,GRE,50km,campionati greci della 50k
6858,USA,50km,the naturalist trail rac
6021,FRA,100km,festival des templiers - endurance trai
3870,USA,50mi,lake martin 50 mile ultra trail rac
7285,USA,100mi,ouray 100 mile endurance ru
3058,USA,50km,double chubb 50
1749,AUS,50km,mitchell river trai
2086,USA,50mi,surf the murph 50 mile ru
202,BEL,50km,north c trai
3862,USA,50mi,old pueblo 50 mile endurance ru
8377,POR,50km,santo thyrso ultra trail - stu
5129,USA,50km,sweat. swat 'n swear! 50 km ru
2768,PER,50km,ultra trail cordillera blanca (utcb) 50 km
5663,USA,50km,recover from the holidays 50
6372,JPN,50mi,hokkaido outdoor festival 50 mile ru
491,USA,50mi,jemez mountain 50mi trail ru
6025,USA,100km,knob hills trail run 100k
3360,CAN,100mi,lost soul ultra 100 mile rac
6034,CZE,100km,minitmmtr - transmoravian masochist trail ru
2765,USA,100km,tarc 100 k
126,USA,50km,not yo momma's 50 k
4417,KOR,100km,beolgyo komak 100k
6331,BRA,50km,ultra maratona sand & sun 50
6844,GBR,50km,humanity direct amersham ultr
3841,USA,100km,sean o'brien 100 km trail rac
4280,AUS,50km,halloween howler 50k
7951,USA,50mi,trail of the dragon 50 mil
1747,IND,50km,rugged sahyadri - ultra trail ru
2141,HKG,100km,to the tops of hong kong 10
3810,USA,100km,run around the world festival - 100 km ru
581,USA,50km,frozen fools 50+
3935,GBR,100km,self-transcendence 24 hour track race tooting bec - 100km spli
2531,USA,50mi,iron mountain 50 mile trail ru
8042,MAS,50km,denai ultra sungka
1256,PUR,50mi,puerto rico 50 miles endurance ru
7967,USA,50mi,do-wacka-do 50 mile trail ru
6787,NED,100mi,langstenachtloop 24 uurs - 100mi spli
2084,USA,50km,dances with dirt - gnaw bone 50 km ultr
7011,USA,50km,echo valley 50 km trail ru
341,USA,50mi,nj one day 24 hour race - 50mi spli
5612,USA,50mi,rockin-k trail 50 mil
59,USA,100mi,tunnel hill 100 mile rac
4496,USA,50km,seattle ghost maratho
4667,GER,100km,bottroper ultralauf festival 12h - 100km spli
5907,CHN,100km,xtrail kanas 100 km ultra-trail ru
7053,USA,100km,iron horse 100 km endurance ru
7907,USA,50km,bandera 50 km endurance ru
406,PHI,50km,boundless pagudpud ultra marathon 50
3246,USA,50km,long island greenbelt trail 50 k
193,USA,50mi,hunter s. thompson fear & loathing 50 mile
6737,CHN,50km,baibin 100 ultra trail dapeng - 50 km ru
6752,AUS,50km,narrabeen allnighter 12 hours - 50km spli
5960,CHN,100km,ultra trail 100k mt gongg
4312,KOR,50km,dmz ultra trail 50 k
6854,USA,50mi,hungerford trail race 50 mil
6392,SWE,100km,tierra arctic ultra 100 k
8169,USA,50km,36 hours of jack 100k - 50km spli
93,ESP,50km,subida granada pico velet
1237,USA,50km,buzzard day 50 km trail rac
7206,CHN,50km,dalian xijiao mountain ru
1205,USA,100km,cool moon 100 km endurance ru
7699,ESP,100km,100km open race los alcazare
5447,USA,50mi,glacier ridge trail 50 mile ultramaratho
2776,GBR,50mi,the conquest of avalon 5
846,USA,50km,paatuwaqatsi ru
2695,CAN,50km,blackfoot ultra 50 k
6801,USA,100km,mayapple 100 km trail ru
3606,AUS,50km,the blackall 5
2033,FRA,50km,trail des cerf
1827,USA,50mi,red rock & beyond 50
5232,SWE,100mi,the gax urasunti epiphany 100m
243,CAN,50km,self-transcendence 50 mile race ottawa - 50km spli
5646,CHI,100km,antarctic 100k rac
7211,USA,100mi,cornbelt running club 24 hour run - 100mi spli
1302,AUS,50km,truth or consequences (50km ultra
4587,CAN,50km,upriver running fall 50k rac
6014,USA,50km,red dirt ultra 50 k
62,POL,100km,ultramaraton kaszubska poniewierk
7820,CZE,50km,50 km marathon mnisek pod brd
1073,USA,50mi,dark sky 5
1117,KOR,100km,historical tour-kim chwachin.han yongun.yun ponggi
1416,USA,50mi,sean o'brien 50 mile trail rac
241,POL,100km,bieg 7 dolin - 100 km ultramarato
2413,JPN,100km,river shimanto 100k
6932,USA,50mi,hawk hundred - 50 mile trail ru
2013,CHN,50km,wuxi trail race - sprin
5493,USA,100km,catskill mountain road race (cmrr
3710,ITA,50km,avatrail blue 50 k
221,TPE,50km,the beast trail 50k
7816,USA,50km,wilmington health southern tour ultra 50
4710,USA,50mi,big bend 50 - borderland 50
3536,USA,50mi,wild azalea trail challeng
4761,USA,50km,rocky mountain 50
2903,USA,50km,miner 49e
6211,GBR,50km,hurtwood 50k endurance trail ru
345,USA,100mi,shawnee hills 100 - 100 mil
1254,USA,50km,piney woods trailfest 50
